TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,Canada,CAN,CAN.png,FF0000ff
2,Poland,POL,POL.png,DC143Cff
3,Finland,FIN,FIN.png,002F6Cff
4,Denmark,DEN,DEN.png,C60C30ff
5,Brazil,BRA,BRA.png,009C3Bff
6,Germany,GER,GER.png,000000ff
7,France,FRA,FRA.png,0055A4ff
8,United Kingdom,GBR,GBR.png,00247Dff
9,Sweden,SWE,SWE.png,006AA7ff
10,Norway,NOR,NOR.png,BA0C2Fff
11,Spain,ESP,ESP.png,AA151Bff
12,Austria,AUT,AUT.png,ED2939FF
13,Turkey,TUR,TUR.png,E30A17ff
14,United States,USA,USA.png,3C3B6Eff
15,Portugal,POR,POR.png,006600ff
16,Argentina,ARG,ARG.png,74ACDFff
17,South Korea,KOR,KOR.png,C60C30ff
18,Japan,JPN,JPN.png,BC002Dff
19,Australia,AUS,AUS.png,00008Bff
20,China,CHN,CHN.png,DE2910ff
21,Croatia,CRO,CRO.png,F00000ff
22,Greece,GRE,GRE.png,0D5EAFff
23,Ukraine,UKR,UKR.png,0057B7ff
24,Italy,ITA,ITA.png,009246ff
25,Tunisia,TUN,TUN.png,E70013ff
26,Russia,RUS,RUS.png,D52B1Eff
27,Switzerland,SUI,SUI.png,FF0000ff
28,South Africa,RSA,RSA.png,007847ff
29,Saudi Arabia,KSA,KSA.png,006C35ff
30,Algeria,ALG,ALG.png,006233ff
31,Jamaica,JAM,JAM.png,007847
32,India,IND,IND.png,FF9933ff
